Rank,Name,Genre,Global_Sales,Tier_Sale
49,Super Mario Galaxy,5,11.52,1
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,8,11.33,1
51,Super Mario Land 2: 6 Golden Coins,2,11.18,1
52,Grand Theft Auto IV,1,11.02,1
53,Gran Turismo,7,10.95,1
54,Super Mario 3D Land,5,10.79,1
55,Gran Turismo 5,7,10.77,1
56,Call of Duty: Modern Warfare 2,9,10.69,1
57,Grand Theft Auto IV,1,10.57,1
58,Super Mario All-Stars,5,10.55,1
59,Pokemon FireRed/Pokemon LeafGreen,8,10.49,1
60,Super Mario 64,5,10.42,1
61,Just Dance 3,4,10.26,1
62,Call of Duty: Ghosts,9,10.21,1
63,Halo: Reach,9,9.88,1
64,Mario Kart 64,7,9.87,1
65,New Super Mario Bros. 2,5,9.82,1
66,Halo 4,9,9.76,1
67,Final Fantasy VII,8,9.72,1
68,Call of Duty: Ghosts,9,9.59,1
69,Just Dance 2,4,9.52,1
70,Gran Turismo 2,7,9.49,1
71,Call of Duty 4: Modern Warfare,9,9.32,1
72,Donkey Kong Country,5,9.3,1
73,Minecraft,4,9.2,1
74,Animal Crossing: New Leaf,10,9.09,1
75,Mario Party DS,4,9.02,1
76,The Elder Scrolls V: Skyrim,8,8.84,1
77,Super Mario Kart,7,8.76,1
78,FIFA 16,11,8.49,1
79,Wii Party,4,8.49,1
80,Halo 2,9,8.49,1
81,Mario Party 8,4,8.42,1
82,Pokemon Black 2/Pokemon White 2,8,8.33,1
83,FIFA Soccer 13,1,8.24,1
84,The Sims 3,10,8.11,1
85,GoldenEye 007,9,8.09,1
86,Mario & Sonic at the Olympic Games,11,8.06,1
87,Final Fantasy X,8,8.05,1
88,Final Fantasy VIII,8,7.86,1
89,Pok̩mon Platinum Version,8,7.84,1
90,Pac-Man,6,7.81,1
91,Grand Theft Auto: Liberty City Stories,1,7.72,1
92,Super Mario Galaxy 2,5,7.69,1
93,Star Wars Battlefront (2015),9,7.67,1
94,Call of Duty: Advanced Warfare,9,7.6,1
95,The Legend of Zelda: Ocarina of Time,1,7.6,1
96,Crash Bandicoot 2: Cortex Strikes Back,5,7.58,1
97,Super Mario Bros. 2,5,7.46,1
98,Super Smash Bros. for Wii U and 3DS,3,7.45,1
99,Call of Duty: World at War,9,7.37,1
100,Battlefield 3,9,7.34,1
101,The Legend of Zelda: Twilight Princess,1,7.31,1
102,Call of Duty: Black Ops 3,9,7.3,1
103,Just Dance,4,7.27,1
104,Battlefield 3,9,7.23,1
105,Need for Speed Underground,7,7.2,1
106,Tekken 3,3,7.16,1
107,Crash Bandicoot 3: Warped,5,7.13,1
108,Super Smash Bros. Melee,3,7.07,1
109,Mario Kart 8,7,6.96,1
110,Fallout 4,8,6.96,1
111,Mario Kart: Double Dash!!,7,6.95,1
112,Just Dance 4,4,6.91,1
113,FIFA 14,11,6.9,1
114,Need for Speed Underground 2,7,6.9,1
115,Medal of Honor: Frontline,9,6.83,1
116,Uncharted 3: Drake's Deception,1,6.83,1
117,Crash Bandicoot,5,6.82,1
118,Zumba Fitness,11,6.81,1
119,Gears of War 2,9,6.76,1
120,Uncharted 2: Among Thieves,1,6.73,1
121,Call of Duty 4: Modern Warfare,9,6.72,1
122,FIFA 12,11,6.69,1
123,Big Brain Academy,4,6.67,1
124,Red Dead Redemption,1,6.6,1
125,FIFA 15,11,6.59,1
126,Donkey Kong Country Returns,5,6.59,1
127,The Elder Scrolls V: Skyrim,8,6.56,1
128,The Legend of Zelda,1,6.51,1
129,Assassin's Creed III,1,6.5,1
130,Halo: Combat Evolved,9,6.43,1
131,Pok̩mon Emerald Version,8,6.41,1
132,Kingdom Hearts,8,6.4,1
133,Pok̩mon Crystal Version,8,6.39,1
134,Halo 3: ODST,9,6.36,1
135,Red Dead Redemption,1,6.34,1
136,Super Mario Sunshine,5,6.31,1
137,Street Fighter II: The World Warrior,3,6.3,1
138,World of Warcraft,8,6.28,1
139,Driver,1,6.27,1
140,Kinect Sports,11,6.24,1
141,Gears of War 3,9,6.24,1
142,Gears of War,9,6.11,1
143,Metal Gear Solid 2: Sons of Liberty,1,6.05,1
144,Sonic the Hedgehog 2,5,6.03,1
145,Metal Gear Solid 4: Guns of the Patriots,1,6.03,1
146,Metal Gear Solid,1,6.03,1
147,The Last of Us,1,5.99,1
148,Final Fantasy XII,8,5.95,1
149,LittleBigPlanet,5,5.92,1
150,Dragon Quest IX: Sentinels of the Starry Skies,8,5.84,1
151,LEGO Star Wars: The Complete Saga,1,5.83,1
152,Resident Evil 2,1,5.82,1
153,Tekken 2,3,5.74,1
154,Cooking Mama,10,5.72,1
155,Destiny,9,5.65,1
156,Tetris,6,5.58,1
157,Assassin's Creed II,1,5.57,1
158,Super Smash Bros.,3,5.55,1
159,Assassin's Creed,2,5.55,1
160,Batman: Arkham City,1,5.53,1
161,Forza Motorsport 3,7,5.51,1
162,Monster Hunter Freedom Unite,8,5.5,1
163,Super Mario Advance,5,5.49,1
164,Mario Kart: Super Circuit,7,5.47,1
165,Super Mario World,5,5.46,1
166,Pokemon Stadium,12,5.45,1
167,Call of Duty: World at War,9,5.43,1
168,Crash Bandicoot: The Wrath of Cortex,5,5.42,1
169,Minecraft,4,5.42,1
170,Final Fantasy XIII,8,5.36,1
171,Dr. Mario,6,5.34,1
172,Pokemon Pinball,4,5.31,1
173,Assassin's Creed III,1,5.3,1
174,Final Fantasy IX,8,5.3,1
175,Final Fantasy X-2,8,5.29,1
176,Donkey Kong 64,5,5.27,1
177,Assassin's Creed II,1,5.27,1
178,Professor Layton and the Curious Village,6,5.26,1
179,Tomb Raider II,1,5.24,1
180,Madden NFL 2004,11,5.23,1
181,Dragon Quest VIII: Journey of the Cursed King,8,5.21,1
182,Diablo III,8,5.2,1
183,Super Mario Bros. 3,5,5.2,1
184,New Super Mario Bros. U,5,5.19,1
185,Super Mario Land 3: Wario Land,5,5.19,1
186,FIFA Soccer 13,1,5.18,1
187,The Legend of Zelda: Phantom Hourglass,1,5.17,1
188,Donkey Kong Country 2: Diddy's Kong Quest,5,5.15,1
189,Tomodachi Life,10,5.15,1
190,Mario & Sonic at the Olympic Games,11,5.14,1
191,Medal of Honor: Rising Sun,9,5.13,1
192,Kirby's Dream Land,5,5.13,1
193,Fable III,8,5.13,1
194,Call of Duty: Advanced Warfare,9,5.13,1
195,Microsoft Flight Simulator,10,5.12,1
196,Guitar Hero II,4,5.12,1
197,Resident Evil 5,1,5.11,1
198,Grand Theft Auto V,1,5.08,1
199,Grand Theft Auto: Vice City Stories,1,5.08,1
200,FIFA Soccer 11,11,5.08,1
201,Super Mario Bros.,5,5.07,1
202,Resident Evil,1,5.05,1
203,Tony Hawk's Pro Skater,11,5.02,1
204,Super Smash Bros. for Wii U and 3DS,3,5.02,1
205,Warzone 2100,12,5.01,1
206,Spyro the Dragon,5,5,1
207,Link's Crossbow Training,9,5,1
208,Guitar Hero III: Legends of Rock,4,4.98,1
209,Fallout 3,8,4.96,1
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,8,4.96,1
211,Uncharted: Drake's Fortune,1,4.94,1
212,Madden NFL 06,11,4.91,1
213,LEGO Star Wars: The Complete Saga,1,4.9,1
214,Diddy Kong Racing,7,4.88,1
215,Monster Hunter Freedom 3,8,4.87,1
216,Dr. Mario,6,4.85,1
217,God of War III,1,4.84,1
218,StarCraft II: Wings of Liberty,12,4.83,1
219,Assassin's Creed,2,4.83,1
220,FIFA 15,11,4.82,1
221,Crash Team Racing,7,4.79,1
222,FIFA 17,11,4.77,1
223,Batman: Arkham City,1,4.76,1
224,Driver 2,1,4.73,1
225,The Simpsons: Hit & Run,7,4.7,1
226,Tony Hawk's Pro Skater 2,11,4.68,1
227,Animal Crossing: City Folk,10,4.68,1
228,The Lord of the Rings: The Two Towers,1,4.67,1
229,Forza Motorsport 4,7,4.64,1
230,Tomb Raider,1,4.63,1
231,Guitar Hero III: Legends of Rock,4,4.62,1
232,The Legend of Zelda: A Link to the Past,1,4.61,1
233,The Legend of Zelda: The Wind Waker,1,4.6,1
234,Mario & Sonic at the Olympic Winter Games,11,4.58,1
235,Luigi's Mansion: Dark Moon,1,4.58,1
236,Splatoon,9,4.57,1
237,The Last of Us,1,4.55,1
238,Guitar Hero III: Legends of Rock,4,4.53,1
239,Madden NFL 2005,11,4.53,1
240,Pitfall!,5,4.5,1
241,Madden NFL 07,11,4.49,1
242,Spider-Man: The Movie,1,4.48,1
243,Dragon Quest VII: Warriors of Eden,8,4.47,1
244,Uncharted: The Nathan Drake Collection,1,4.47,1
245,Call of Duty: Advanced Warfare,9,4.45,1
246,God of War,1,4.45,1
247,Nintendo Land,4,4.44,1
248,Michael Jackson: The Experience,4,4.42,1
249,Tony Hawk's Pro Skater 3,11,4.41,1
250,Winning Eleven: Pro Evolution Soccer 2007,11,4.39,1
251,The Elder Scrolls IV: Oblivion,8,4.39,1
252,Zelda II: The Adventure of Link,2,4.38,1
253,Need for Speed: Most Wanted,7,4.37,1
254,Resistance: Fall of Man,9,4.35,1
255,Sonic the Hedgehog,5,4.34,1
256,Kingdom Hearts II,8,4.33,1
257,FIFA 14,11,4.31,1
258,Call of Duty: Advanced Warfare,9,4.31,1
259,Asteroids,9,4.31,1
260,Fable II,8,4.31,1
261,Halo 5: Guardians,9,4.26,1
262,Super Mario 3D World,5,4.25,1
263,Batman: Arkham Asylum,1,4.25,1
264,Assassin's Creed: Revelations,1,4.24,1
265,Namco Museum,4,4.24,1
266,Metal Gear Solid 3: Snake Eater,1,4.23,1
267,Daxter,5,4.22,1
268,Warcraft II: Tides of Darkness,12,4.21,1
269,The Legend of Zelda: Ocarina of Time,1,4.21,1
270,FIFA Soccer 06,11,4.21,1
271,EyeToy Play,4,4.2,1
272,Uncharted 4: A Thief's End,9,4.2,1
273,Gran Turismo 5 Prologue,7,4.2,1
274,Assassin's Creed: Revelations,1,4.19,1
275,Street Fighter IV,3,4.19,1
276,FIFA 12,11,4.19,1
277,Teenage Mutant Ninja Turtles,1,4.17,1
278,Excitebike,7,4.16,1
279,Frogger,1,4.16,1
280,Madden NFL 2003,11,4.14,1
281,Watch Dogs,1,4.14,1
282,Half-Life,9,4.12,1
283,Super Mario World 2: Yoshi's Island,5,4.12,1
284,FIFA Soccer 07,11,4.11,1
285,The Legend of Zelda: Skyward Sword,1,4.1,1
286,Street Fighter II Turbo,3,4.1,1
287,Carnival Games,4,4.1,1
288,Fallout 4,8,4.09,1
289,World of Warcraft: The Burning Crusade,8,4.09,1
290,Fallout: New Vegas,8,4.08,1
291,God of War II,1,4.07,1
292,Forza Motorsport 2,7,4.06,1
293,World Soccer Winning Eleven 9,11,4.06,1
294,Namco Museum Vol.3,4,4.05,1
295,Tekken Tag Tournament,3,4.05,1
296,Far Cry 4,9,4.03,1
297,Star Fox 64,9,4.03,1
298,Minecraft,4,4.02,1
299,Golf,11,4.01,1
300,Fallout 3,8,4.01,1
301,Professor Layton and the Diabolical Box,6,4,1
302,Left 4 Dead 2,9,3.99,1
303,Namco Museum: 50th Anniversary,4,3.98,1
304,EA Sports Active,11,3.92,1
305,Assassin's Creed: Unity,1,3.92,1
306,Donkey Kong Land,5,3.91,1
307,Tony Hawk's Underground,11,3.9,1
308,Assassin's Creed IV: Black Flag,1,3.89,1
309,Monster Hunter 4 Ultimate,8,3.89,1
310,MotorStorm,7,3.88,1
311,The Elder Scrolls V: Skyrim,8,3.88,1
312,Tekken 5,3,3.87,1
313,Dragon Warrior III,8,3.87,1
314,Sports Champions,11,3.87,1
315,NBA 2K16,11,3.85,1
316,World Soccer Winning Eleven 8 International,11,3.85,1
317,Flash Focus: Vision Training in Minutes a Day,4,3.84,1
318,Namco Museum Vol.1,4,3.84,1
319,The Legend of Zelda: Link's Awakening,1,3.83,1
320,Mario & Luigi: Bowser's Inside Story,8,3.83,1
321,Big Brain Academy: Wii Degree,4,3.82,1
322,Nintendogs + cats,10,3.81,1
323,Batman: Arkham Knight,1,3.79,1
324,Mario & Sonic at the London 2012 Olympic Games,11,3.78,1
325,LEGO Indiana Jones: The Original Adventures,1,3.78,1
326,Resident Evil Director's Cut,1,3.77,1
327,Ratchet & Clank: Size Matters,5,3.77,1
328,Just Dance 2014,4,3.76,1
329,The Sims: Unleashed,10,3.76,1
330,Super Paper Mario,5,3.76,1
331,Harry Potter and the Sorcerer's Stone,1,3.73,1
332,The Witcher 3: Wild Hunt,8,3.73,1
333,Resident Evil 3: Nemesis,1,3.72,1
334,Spyro: Year of the Dragon,5,3.71,1
335,FIFA Soccer 2005,11,3.7,1
336,Pok̩mon Trading Card Game,12,3.7,1
337,Battlefield 4,9,3.69,1
338,MySims,10,3.69,1
339,Friend Collection,4,3.67,1
340,Tony Hawk's Pro Skater 4,11,3.67,1
341,Midnight Club 3: DUB Edition,7,3.66,1
342,Banjo-Kazooie,5,3.65,1
343,SOCOM: U.S. Navy SEALs,9,3.65,1
344,Guitar Hero: World Tour,4,3.65,1
345,Gran Turismo 6,7,3.64,1
346,Jak and Daxter: The Precursor Legacy,5,3.64,1
347,Pokemon Snap,10,3.63,1
348,FIFA Soccer 10,11,3.63,1
349,Pro Evolution Soccer 2008,11,3.63,1
350,Call of Duty: Ghosts,9,3.63,1
351,Resident Evil 4,1,3.62,1
352,Tom Clancy's The Division,9,3.61,1
353,Star Wars: Battlefront,9,3.61,1
354,Doom II: Hell on Earth,9,3.61,1
355,The Simpsons: Road Rage,7,3.61,1
356,Cooking Mama 2: Dinner With Friends,10,3.61,1
357,Luigi's Mansion,1,3.6,1
358,Star Wars: Battlefront II,9,3.59,1
359,WWF SmackDown!,3,3.58,1
360,Croc: Legend of the Gobbos,5,3.56,1
361,Grand Theft Auto: Liberty City Stories,1,3.54,1
362,The Getaway,1,3.54,1
363,Tomb Raider III: Adventures of Lara Croft,1,3.54,1
364,James Bond 007: Agent Under Fire,9,3.53,1
365,LEGO Star Wars: The Video Game,1,3.53,1
366,Battlefield 4,9,3.53,1
367,FIFA Soccer 11,11,3.53,1
368,Rugrats in Paris: The Movie,1,3.52,1
369,Spyro 2: Ripto's Rage!,5,3.52,1
370,Left 4 Dead,9,3.52,1
371,Mario & Sonic at the Olympic Winter Games,11,3.52,1
372,Resident Evil 5,1,3.51,1
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,5,3.51,1
374,Assassin's Creed: Brotherhood,1,3.5,1
375,Kung Fu,1,3.5,1
376,Batman: Arkham Asylum,1,3.5,1
377,Clubhouse Games,4,3.5,1
378,FIFA Soccer 2004,11,3.49,1
379,Star Wars Battlefront (2015),9,3.49,1
380,Battlefield: Bad Company 2,9,3.48,1
381,Guitar Hero: On Tour,4,3.48,1
382,Assassin's Creed: Unity,1,3.46,1
383,Far Cry 3,9,3.45,1
384,Monster Hunter 4,8,3.44,1
385,Borderlands,9,3.44,1
386,Tekken 4,3,3.44,1
387,Battlefield 4,9,3.43,1
388,LittleBigPlanet 2,5,3.42,1
389,Grand Theft Auto 2,1,3.42,1
390,Final Fantasy III,8,3.42,1
391,Spider-Man 2,1,3.41,1
392,F-1 Race,7,3.41,1
393,FIFA Soccer 2003,11,3.4,1
394,Crash Bash,4,3.39,1
395,LEGO Batman: The Videogame,1,3.38,1
396,Metal Gear Solid V: The Phantom Pain,1,3.38,1
397,The Legend of Zelda: Spirit Tracks,1,3.38,1
398,WWF War Zone,3,3.36,1
399,The Legend of Zelda: Majora's Mask,1,3.36,1
400,Professor Layton and the Unwound Future,6,3.36,1
401,Rugrats: Search For Reptar,2,3.34,1
402,Assassin's Creed IV: Black Flag,1,3.34,1
403,English Training: Have Fun Improving Your Skills!,4,3.33,1
404,James Bond 007: Nightfire,9,3.33,1
405,Ratchet & Clank,5,3.33,1
406,Mario Party 9,4,3.32,1
407,Star Wars Episode III: Revenge of the Sith,1,3.32,1
408,Max Payne,9,3.31,1
409,The Lord of the Rings: The Return of the King,1,3.28,1
410,Assassin's Creed Syndicate,1,3.28,1
411,Destiny,9,3.28,1
412,True Crime: Streets of LA,1,3.27,1
413,Wii Music,4,3.27,1
414,Gran Turismo (PSP),7,3.27,1
415,Monster Hunter X,1,3.26,1
416,Tekken,3,3.24,1
417,FIFA 16,11,3.23,1
418,L.A. Noire,2,3.23,1
419,Madden NFL 16,11,3.22,1
420,Yokai Watch 2 Ganso/Honke,8,3.22,1
421,007: Tomorrow Never Dies,9,3.21,1
422,Baseball,11,3.2,1
423,Killer Instinct,3,3.2,1
424,WWF SmackDown! 2: Know Your Role,3,3.2,1
425,Crisis Core: Final Fantasy VII,8,3.19,1
426,God of War: Chains of Olympus,1,3.19,1
427,Dragon Quest VI: Maboroshi no Daichi,8,3.19,1
428,Dance Central,4,3.19,1
429,Enter the Matrix,1,3.18,1
430,Super Mario Maker,5,3.18,1
431,Fallout: New Vegas,8,3.17,1
432,LEGO Batman: The Videogame,1,3.17,1
433,Rhythm Heaven,4,3.17,1
434,Ace Combat 04: Shattered Skies,10,3.17,1
435,Club Penguin: Elite Penguin Force,2,3.16,1
436,Animal Crossing,10,3.15,1
437,LEGO Batman: The Videogame,1,3.15,1
438,Sonic Rush,5,3.15,1
439,Resident Evil 6,9,3.15,1
440,Halo: The Master Chief Collection,9,3.15,1
441,FIFA Soccer 08,11,3.14,1
442,Spider-Man,1,3.13,1
443,Need for Speed III: Hot Pursuit,7,3.12,1
444,Star Wars Episode I Racer,7,3.12,1
445,Personal Trainer: Cooking,4,3.12,1
446,The Elder Scrolls IV: Oblivion,8,3.12,1
447,Dragon Warrior IV,8,3.12,1
448,Heavy Rain,2,3.12,1
449,Mass Effect 2,8,3.11,1
450,FIFA 15,11,3.11,1
451,Dragon Ball Z: Budokai,3,3.09,1
452,Madden NFL 2002,11,3.08,1
453,World Class Track Meet,11,3.08,1
454,Borderlands 2,9,3.07,1
455,The Legend of Zelda: A Link Between Worlds,1,3.07,1
456,Donkey Kong,5,3.07,1
457,The Sims: Vacation,10,3.07,1
458,Mass Effect 3,8,3.07,1
459,Kung Fu Panda,1,3.05,1
460,Far Cry 3,9,3.04,1
461,Epic Mickey,5,3.04,1
462,Saints Row 2,1,3.03,1
463,Rayman,5,3.03,1
464,Killzone 2,9,3.02,1
465,Tom Clancy's Splinter Cell,1,3.02,1
466,Mike Tyson's Punch-Out!!,3,3.02,1
467,WWE SmackDown! Shut Your Mouth,11,3.02,1
468,Gears of War: Ultimate Edition,9,3,1
469,NBA 2K13,11,3,1
470,Dragon Ball Z: Budokai Tenkaichi 3,3,3,1
471,wwe Smackdown vs. Raw 2006,3,3,1
472,Middle-Earth: Shadow of Mordor,1,2.99,1
473,Star Fox,9,2.99,1
474,The Sims: Livin Large,4,2.99,1
475,World Soccer Winning Eleven 6 International,11,2.99,1
476,Devil May Cry,1,2.99,1
477,Animal Crossing: Happy Home Designer,10,2.98,1
478,Battlefield: Bad Company 2,9,2.97,1
479,The Sims 4,10,2.97,1
480,Star Wars: The Old Republic,8,2.97,1
481,Sonic Heroes,5,2.96,1
482,Kirby Super Star Ultra,5,2.96,1
483,Hitman 2: Silent Assassin,1,2.96,1
484,Street Fighter IV,3,2.95,1
485,Wave Race 64,7,2.94,1
486,SOCOM II: U.S. Navy SEALs,9,2.94,1
487,WWE SmackDown! vs. RAW 2006,3,2.94,1
488,inFAMOUS,1,2.94,1
489,Pac-Man Collection,6,2.94,1
490,Mass Effect,8,2.93,1
491,WarioWare: Smooth Moves,6,2.92,1
492,Cooking Mama: Cook Off,10,2.91,1
493,Super Mario World 2: Yoshi's Island,5,2.91,1
494,FIFA 14,11,2.9,1
495,Titanfall,9,2.9,1
496,Sonic Mega Collection Plus,4,2.9,1
497,Sega Superstars Tennis,11,2.9,1
498,World Soccer Winning Eleven 7 International,11,2.9,1
499,Need for Speed: Most Wanted,7,2.89,1
500,Hot Shots Golf 3,11,2.89,1
501,Call of Duty: Finest Hour,9,2.89,1
502,Zumba Fitness 2,11,2.88,1
503,Syphon Filter,9,2.88,1
504,Imagine: Babyz,10,2.88,1
505,Colin McRae Rally,7,2.87,1
506,Call of Duty: Ghosts,9,2.86,1
507,Madden NFL 13,11,2.86,1
508,The Elder Scrolls III: Morrowind,8,2.86,1
509,Mortal Kombat,3,2.85,1
510,F-Zero,7,2.85,1
511,Yoshi's Story,5,2.85,1
512,Command & Conquer: Red Alert,12,2.85,1
513,Skylanders: Spyro's Adventure,1,2.85,1
514,FIFA 16,11,2.85,1
515,Assassin's Creed: Brotherhood,1,2.84,1
516,BioShock,9,2.83,1
517,Madden NFL 10,11,2.83,1
518,Medal of Honor,9,2.83,1
519,WWE SmackDown! vs. Raw,3,2.83,1
520,Metroid Prime,9,2.82,1
521,Finding Nemo,1,2.82,1
522,Myst,2,2.81,1
523,Need for Speed: Hot Pursuit,7,2.81,1
524,Imagine: Fashion Designer,10,2.81,1
525,WWE SmackDown! Here Comes the Pain,3,2.8,1
526,Star Wars: The Force Unleashed,1,2.8,1
527,Yoshi's Island DS,5,2.8,1
528,Hot Shots Golf,11,2.79,1
529,Killzone 3,9,2.79,1
530,A Bug's Life,5,2.79,1
531,WWF SmackDown! Just Bring It,3,2.79,1
532,Dragon Quest V: Tenkuu no Hanayome,8,2.79,1
533,Mortal Kombat Trilogy,3,2.79,1
534,Battlefield 3,9,2.79,1
535,NBA Street,11,2.79,1
536,Professor Layton and the Last Specter,6,2.79,1
537,Monster Hunter Tri,8,2.79,1
538,Jak II,5,2.78,1
539,inFAMOUS: Second Son,1,2.78,1
540,Ratchet & Clank: Going Commando,5,2.78,1
541,Tekken 6,3,2.78,1
542,The Sims,10,2.77,1
543,Sonic and the Secret Rings,5,2.77,1
544,Saints Row: The Third,1,2.77,1
545,Missile Command,9,2.76,1
546,Mario Paint,4,2.75,1
547,Assassin's Creed IV: Black Flag,1,2.74,1
548,Pok̩mon Stadium 2,12,2.73,1
549,Metroid,1,2.73,1
550,L.A. Noire,2,2.72,1
551,Call of Duty 3,9,2.71,1
552,The Legend of Zelda: A Link to the Past,1,2.7,1
553,Onimusha: Warlords,1,2.7,1
554,Mortal Kombat X,3,2.7,1
555,Mario Party,4,2.7,1
556,Madden NFL 12,11,2.69,1
557,LEGO Star Wars II: The Original Trilogy,1,2.69,1
558,Madden NFL 11,11,2.69,1
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,6,2.69,1
560,Skate 3,11,2.68,1
561,Burnout 3: Takedown,7,2.68,1
562,Yokai Watch 2 Shinuchi,8,2.68,1
563,Need for Speed: Shift,7,2.68,1
564,Final Fantasy XIII-2,8,2.68,1
565,Mortal Kombat,3,2.67,1
566,Call Of Duty 2: Big Red One,9,2.67,1
567,Guitar Hero: World Tour,4,2.67,1
568,Medal of Honor,9,2.67,1
569,Fable,8,2.66,1
570,Hannah Montana,1,2.65,1
571,Tom Clancy's Splinter Cell,1,2.65,1
572,Skylanders Giants,1,2.65,1
573,Medal of Honor Heroes,9,2.65,1
574,Super Mario Bros.: The Lost Levels,5,2.65,1
575,Star Wars: Shadows of the Empire,1,2.65,1
576,LEGO Star Wars: The Complete Saga,1,2.64,1
577,Midnight Club: Street Racing,7,2.63,1
578,Pac-Man: Adventures in Time,3,2.63,1
579,Halo Wars,12,2.63,1
580,God of War Collection,1,2.63,1
581,ESPN NFL 2K5,11,2.62,1
582,Mario Strikers Charged,11,2.62,1
583,Medal of Honor,9,2.62,1
584,FIFA Soccer 10,11,2.62,1
585,NBA 2K12,11,2.62,1
586,Style Savvy,10,2.61,1
587,Harry Potter and the Chamber of Secrets,1,2.61,1
588,Super Mario All-Stars: Limited Edition,5,2.6,1
589,Streets of Rage,1,2.6,1
590,FIFA Soccer 09,11,2.59,1
591,Ratchet & Clank Future: Tools of Destruction,5,2.59,1
592,NBA Live 2005,11,2.59,1
593,LittleBigPlanet,5,2.58,1
594,Killzone: Shadow Fall,9,2.58,1
595,Ghostbusters: The Video Game (DS Version),1,2.58,1
596,Monster Hunter Freedom 2,8,2.58,1
597,WWE SmackDown vs. RAW 2007,3,2.58,1
598,Ratchet & Clank: Up Your Arsenal,5,2.57,1
599,Art Academy,4,2.57,1
600,Dragon Age: Origins,8,2.57,1
601,Madden NFL 08,11,2.57,1
602,Sonic Adventure 2 Battle,5,2.56,1
603,Dragon Warrior II,8,2.56,1
604,Madden NFL 13,11,2.56,1
605,Pok̩mon Colosseum,8,2.54,1
606,Deca Sports,11,2.54,1
607,Madden NFL 09,11,2.54,1
608,Space Invaders,9,2.53,1
609,Crazy Taxi,7,2.52,1
610,Perfect Dark,1,2.52,1
611,Game Party,4,2.52,1
612,Dragon Warrior,8,2.52,1
613,Tomb Raider (2013),1,2.51,1
614,Marvel: Ultimate Alliance,8,2.5,1
615,PES 2009: Pro Evolution Soccer,11,2.5,1
616,Mario Party 2,4,2.5,1
617,Saints Row: The Third,1,2.49,1
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,1,2.49,1
619,LEGO Harry Potter: Years 1-4,1,2.49,1
620,Mortal Kombat: Deadly Alliance,3,2.49,1
621,Resistance 2,9,2.48,1
622,Pure,7,2.48,1
623,Tomb Raider: The Last Revelation,1,2.48,1
624,NBA 2K13,11,2.48,1
625,Rock Band,4,2.48,1
626,NBA 2K14,11,2.47,1
627,Mario Party 4,4,2.47,1
628,uDraw Studio,4,2.46,1
629,Midnight Club: Los Angeles,7,2.45,1
630,Final Fantasy V,8,2.45,1
631,Final Fantasy Tactics,8,2.45,1
632,Twisted Metal 2,7,2.44,1
633,Halo: Combat Evolved Anniversary,9,2.44,1
