name,platform,year,genre,publisher,na,eu,jp,other,global_sales,label
Call of Duty: Black Ops,29,2010,9,17,9.67,3.73,0.11,1.13,14.64,1
Pokemon X/Pokemon Y,3,2013,8,368,5.17,4.05,4.34,0.79,14.35,1
Call of Duty: Black Ops 3,19,2015,9,17,5.77,5.81,0.35,2.31,14.24,1
Call of Duty: Black Ops II,18,2012,9,17,4.99,5.88,0.65,2.52,14.03,1
Call of Duty: Black Ops II,29,2012,9,17,8.25,4.3,0.07,1.12,13.73,1
Call of Duty: Modern Warfare 2,29,2009,9,17,8.52,3.63,0.08,1.29,13.51,1
Call of Duty: Modern Warfare 3,18,2011,9,17,5.54,5.82,0.49,1.62,13.46,1
Grand Theft Auto III,17,2001,1,498,6.99,4.51,0.3,1.3,13.1,1
Super Smash Bros. Brawl,26,2008,3,368,6.75,2.61,2.66,1.02,13.04,1
Call of Duty: Black Ops,18,2010,9,17,5.98,4.44,0.48,1.83,12.73,1
Animal Crossing: Wild World,5,2005,10,368,2.55,3.52,5.33,0.88,12.27,1
Mario Kart 7,3,2011,7,368,4.74,3.91,2.67,0.89,12.21,1
Halo 3,29,2007,9,328,7.97,2.83,0.13,1.21,12.14,1
Grand Theft Auto V,19,2014,1,498,3.8,5.81,0.36,2.02,11.98,1
Pokemon HeartGold/Pokemon SoulSilver,5,2009,1,368,4.4,2.77,3.96,0.77,11.9,1
Super Mario 64,11,1996,5,368,6.91,2.85,1.91,0.23,11.89,1
Gran Turismo 4,17,2004,7,464,3.01,0.01,1.1,7.53,11.66,1
Super Mario Galaxy,26,2007,5,368,6.16,3.4,1.2,0.76,11.52,1
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3,2014,8,368,4.23,3.37,3.08,0.65,11.33,1
Super Mario Land 2: 6 Golden Coins,6,1992,2,368,6.16,2.04,2.69,0.29,11.18,1
Grand Theft Auto IV,29,2008,1,498,6.76,3.1,0.14,1.03,11.02,1
Gran Turismo,16,1997,7,464,4.02,3.87,2.54,0.52,10.95,1
Super Mario 3D Land,3,2011,5,368,4.89,2.99,2.13,0.78,10.79,1
Gran Turismo 5,18,2010,7,464,2.96,4.88,0.81,2.12,10.77,1
Call of Duty: Modern Warfare 2,18,2009,9,17,4.99,3.69,0.38,1.63,10.69,1
Grand Theft Auto IV,18,2008,1,498,4.76,3.76,0.44,1.62,10.57,1
Super Mario All-Stars,24,1993,5,368,5.99,2.15,2.12,0.29,10.55,1
Pokemon FireRed/Pokemon LeafGreen,7,2004,8,368,4.34,2.65,3.15,0.35,10.49,1
Super Mario 64,5,2004,5,368,5.08,3.11,1.25,0.98,10.42,1
Just Dance 3,26,2011,4,532,6.05,3.15,0,1.07,10.26,1
Call of Duty: Ghosts,29,2013,9,17,6.72,2.63,0.04,0.82,10.21,1
Halo: Reach,29,2010,9,328,7.03,1.98,0.08,0.78,9.88,1
Mario Kart 64,11,1996,7,368,5.55,1.94,2.23,0.15,9.87,1
New Super Mario Bros. 2,3,2012,5,368,3.66,3.07,2.47,0.63,9.82,1
Halo 4,29,2012,9,328,6.63,2.36,0.04,0.73,9.76,1
Final Fantasy VII,16,1997,8,464,3.01,2.47,3.28,0.96,9.72,1
Call of Duty: Ghosts,18,2013,9,17,4.09,3.73,0.38,1.38,9.59,1
Just Dance 2,26,2010,4,532,5.84,2.89,0.01,0.78,9.52,1
Gran Turismo 2,16,1999,7,464,3.88,3.42,1.69,0.5,9.49,1
Call of Duty 4: Modern Warfare,29,2007,9,17,5.91,2.38,0.13,0.9,9.32,1
Donkey Kong Country,24,1994,5,368,4.36,1.71,3,0.23,9.3,1
Minecraft,29,2013,4,328,5.58,2.83,0.02,0.77,9.2,1
Animal Crossing: New Leaf,3,2012,10,368,2.01,2.32,4.36,0.41,9.09,1
Mario Party DS,5,2007,4,368,4.46,1.88,1.98,0.7,9.02,1
The Elder Scrolls V: Skyrim,29,2011,8,65,5.03,2.86,0.1,0.85,8.84,1
Super Mario Kart,24,1992,7,368,3.54,1.24,3.81,0.18,8.76,1
FIFA 16,19,2015,11,139,1.11,6.06,0.06,1.26,8.49,1
Wii Party,26,2010,4,368,1.79,3.53,2.49,0.68,8.49,1
Halo 2,30,2004,9,328,6.82,1.53,0.05,0.08,8.49,1
Mario Party 8,26,2007,4,368,3.81,2.3,1.58,0.73,8.42,1
Pokemon Black 2/Pokemon White 2,5,2012,8,368,2.91,1.86,3.14,0.43,8.33,1
FIFA Soccer 13,18,2012,1,139,1.06,5.05,0.13,2.01,8.24,1
The Sims 3,14,2009,10,139,0.98,6.42,0,0.71,8.11,1
GoldenEye 007,11,1997,9,368,5.8,2.01,0.13,0.15,8.09,1
Mario & Sonic at the Olympic Games,26,2007,11,452,2.58,3.9,0.66,0.91,8.06,1
Final Fantasy X,17,2001,8,464,2.91,2.07,2.73,0.33,8.05,1
Final Fantasy VIII,16,1999,8,475,2.28,1.72,3.63,0.23,7.86,1
Pok̩mon Platinum Version,5,2008,8,368,2.82,1.78,2.69,0.55,7.84,1
Pac-Man,1,1982,6,54,7.28,0.45,0,0.08,7.81,1
Grand Theft Auto: Liberty City Stories,20,2005,1,498,2.9,2.83,0.24,1.75,7.72,1
Super Mario Galaxy 2,26,2010,5,368,3.66,2.42,0.98,0.64,7.69,1
Star Wars Battlefront (2015),19,2015,9,139,2.93,3.29,0.22,1.23,7.67,1
Call of Duty: Advanced Warfare,19,2014,9,17,2.8,3.3,0.14,1.37,7.6,1
The Legend of Zelda: Ocarina of Time,11,1998,1,368,4.1,1.89,1.45,0.16,7.6,1
Crash Bandicoot 2: Cortex Strikes Back,16,1997,5,464,3.78,2.17,1.31,0.31,7.58,1
Super Mario Bros. 2,12,1988,5,368,5.39,1.18,0.7,0.19,7.46,1
Super Smash Bros. for Wii U and 3DS,3,2014,3,368,3.24,1.35,2.42,0.43,7.45,1
Call of Duty: World at War,29,2008,9,17,4.79,1.9,0,0.69,7.37,1
Battlefield 3,29,2011,9,139,4.46,2.13,0.06,0.69,7.34,1
The Legend of Zelda: Twilight Princess,26,2006,1,368,3.83,2.19,0.6,0.7,7.31,1
Call of Duty: Black Ops 3,31,2015,9,17,4.52,2.09,0.01,0.67,7.3,1
Just Dance,26,2009,4,532,3.51,3.03,0,0.73,7.27,1
Battlefield 3,18,2011,9,139,2.85,2.93,0.35,1.1,7.23,1
Need for Speed Underground,17,2003,7,139,3.27,2.83,0.08,1.02,7.2,1
Tekken 3,16,1998,3,464,3.27,2.22,1.4,0.29,7.16,1
Crash Bandicoot 3: Warped,16,1998,5,464,3.68,1.75,1.42,0.28,7.13,1
Super Smash Bros. Melee,8,2001,3,368,4.41,1.04,1.39,0.22,7.07,1
Mario Kart 8,27,2014,7,368,3.13,2.07,1.27,0.49,6.96,1
Fallout 4,19,2015,8,65,2.47,3.15,0.24,1.1,6.96,1
Mario Kart: Double Dash!!,8,2003,7,368,4.12,1.77,0.87,0.19,6.95,1
Just Dance 4,26,2012,4,532,4.14,2.21,0,0.56,6.91,1
FIFA 14,18,2013,11,139,0.78,4.32,0.07,1.73,6.9,1
Need for Speed Underground 2,17,2004,7,139,2.71,3.02,0.08,1.09,6.9,1
Medal of Honor: Frontline,17,2002,9,139,2.93,2.75,0.17,0.99,6.83,1
Uncharted 3: Drake's Deception,18,2011,1,464,2.77,2.8,0.19,1.06,6.83,1
Crash Bandicoot,16,1996,5,464,3.23,2.35,0.94,0.3,6.82,1
Zumba Fitness,26,2010,11,7,3.5,2.64,0,0.67,6.81,1
Gears of War 2,29,2008,9,328,4.15,1.92,0.06,0.64,6.76,1
Uncharted 2: Among Thieves,18,2009,1,464,3.27,2.25,0.21,1,6.73,1
Call of Duty 4: Modern Warfare,18,2007,9,17,3.1,2.3,0.28,1.04,6.72,1
FIFA 12,18,2011,11,139,0.84,4.32,0.11,1.42,6.69,1
Big Brain Academy,5,2005,4,368,1.67,2.78,1.6,0.62,6.67,1
Red Dead Redemption,18,2010,1,498,2.79,2.61,0.17,1.03,6.6,1
FIFA 15,19,2014,11,139,0.79,4.29,0.05,1.47,6.59,1
Donkey Kong Country Returns,26,2010,5,368,3.25,1.84,1.03,0.47,6.59,1
The Elder Scrolls V: Skyrim,18,2011,8,65,2.55,2.71,0.25,1.05,6.56,1
The Legend of Zelda,12,1986,1,368,3.74,0.93,1.69,0.14,6.51,1
Assassin's Creed III,18,2012,1,532,2.64,2.56,0.16,1.14,6.5,1
Halo: Combat Evolved,30,2001,9,328,4.98,1.3,0.08,0.07,6.43,1
Pok̩mon Emerald Version,7,2004,8,368,2.57,1.58,2.06,0.21,6.41,1
Kingdom Hearts,17,2002,8,464,3.64,1.2,1.49,0.07,6.4,1
Pok̩mon Crystal Version,6,2000,8,368,2.55,1.56,1.29,0.99,6.39,1
Halo 3: ODST,29,2009,9,328,4.34,1.35,0.06,0.61,6.36,1
Red Dead Redemption,29,2010,1,498,3.7,1.97,0.09,0.57,6.34,1
Super Mario Sunshine,8,2002,5,368,4.01,1.26,0.87,0.17,6.31,1
Street Fighter II: The World Warrior,24,1992,3,82,2.47,0.83,2.87,0.12,6.3,1
World of Warcraft,14,2004,8,17,0.07,6.21,0,0,6.28,1
Driver,16,1999,1,209,3.11,2.8,0.02,0.33,6.27,1
Kinect Sports,29,2010,11,328,3.92,1.78,0.03,0.51,6.24,1
Gears of War 3,29,2011,9,328,4.05,1.62,0.07,0.49,6.24,1
Gears of War,29,2006,9,328,3.54,1.9,0.07,0.6,6.11,1
Metal Gear Solid 2: Sons of Liberty,17,2001,1,282,2.45,2.01,0.87,0.72,6.05,1
Sonic the Hedgehog 2,9,1992,5,452,4.47,1.2,0.16,0.19,6.03,1
Metal Gear Solid 4: Guns of the Patriots,18,2008,1,282,2.63,1.74,0.83,0.83,6.03,1
Metal Gear Solid,16,1998,1,282,3.18,1.83,0.78,0.24,6.03,1
The Last of Us,18,2013,1,466,2.41,2.28,0.28,1.01,5.99,1
Final Fantasy XII,17,2006,8,474,1.88,0,2.33,1.74,5.95,1
LittleBigPlanet,18,2008,5,464,2.8,2.05,0.17,0.9,5.92,1
Dragon Quest IX: Sentinels of the Starry Skies,5,2009,8,368,0.66,0.69,4.35,0.15,5.84,1
LEGO Star Wars: The Complete Saga,26,2007,1,296,3.66,1.63,0,0.53,5.83,1
Resident Evil 2,16,1998,1,551,1.88,1.47,2.02,0.45,5.82,1
Tekken 2,16,1996,3,464,2.26,1.89,1.36,0.23,5.74,1
Cooking Mama,5,2006,10,7,3.13,1.94,0.07,0.58,5.72,1
Destiny,19,2014,9,17,2.49,2.05,0.16,0.96,5.65,1
Tetris,12,1988,6,368,2.97,0.69,1.81,0.11,5.58,1
Assassin's Creed II,18,2009,1,532,2.54,1.95,0.21,0.87,5.57,1
Super Smash Bros.,11,1999,3,368,2.95,0.6,1.97,0.04,5.55,1
Assassin's Creed,29,2007,2,532,3.28,1.65,0.07,0.55,5.55,1
Batman: Arkham City,18,2011,1,558,2.7,1.91,0.11,0.8,5.53,1
Forza Motorsport 3,29,2009,7,328,2.99,1.92,0.1,0.51,5.51,1
Monster Hunter Freedom Unite,20,2008,8,82,0.47,0.57,4.13,0.34,5.5,1
Super Mario Advance,7,2001,5,368,3.14,1.24,0.91,0.2,5.49,1
Mario Kart: Super Circuit,7,2001,7,368,2.62,1.64,0.99,0.23,5.47,1
Super Mario World,7,2001,5,368,3.21,1.11,0.95,0.2,5.46,1
Pokemon Stadium,11,1999,12,368,3.18,1.24,0.94,0.09,5.45,1
Call of Duty: World at War,18,2008,9,17,2.72,1.87,0,0.84,5.43,1
Crash Bandicoot: The Wrath of Cortex,17,2001,5,539,2.07,2.29,0.24,0.82,5.42,1
Minecraft,18,2014,4,464,1.97,2.51,0,0.94,5.42,1
Final Fantasy XIII,18,2009,8,474,1.74,1.24,1.87,0.52,5.36,1
Dr. Mario,6,1989,6,368,2.18,0.96,2,0.2,5.34,1
Pokemon Pinball,6,1999,4,368,3.02,1.12,1.01,0.16,5.31,1
Assassin's Creed III,29,2012,1,532,3.13,1.71,0.03,0.44,5.3,1
Final Fantasy IX,16,2000,8,475,1.62,0.77,2.78,0.14,5.3,1
Final Fantasy X-2,17,2003,8,139,1.92,1.08,2.11,0.17,5.29,1
Donkey Kong 64,11,1999,5,368,3.33,0.79,1.09,0.06,5.27,1
Assassin's Creed II,29,2009,1,532,3.1,1.56,0.08,0.51,5.27,1
Professor Layton and the Curious Village,5,2007,6,368,1.22,2.48,1.03,0.52,5.26,1
Tomb Raider II,16,1997,1,138,2.3,2.46,0.2,0.28,5.24,1
Madden NFL 2004,17,2005,11,139,4.26,0.26,0.01,0.71,5.23,1
Dragon Quest VIII: Journey of the Cursed King,17,2004,8,474,0.65,0.75,3.61,0.2,5.21,1
Diablo III,14,2012,8,17,2.43,2.15,0,0.62,5.2,1
Super Mario Bros. 3,7,2003,5,368,2.93,1.25,0.83,0.2,5.2,1
New Super Mario Bros. U,27,2012,5,368,2.32,1.3,1.27,0.31,5.19,1
Super Mario Land 3: Wario Land,6,1994,5,368,2.49,0.98,1.57,0.15,5.19,1
FIFA Soccer 13,29,2012,1,139,1.08,3.48,0.03,0.58,5.18,1
The Legend of Zelda: Phantom Hourglass,5,2007,1,368,1.9,1.83,0.95,0.49,5.17,1
Donkey Kong Country 2: Diddy's Kong Quest,24,1995,5,368,2.1,0.74,2.2,0.11,5.15,1
Tomodachi Life,3,2013,10,368,0.96,2.02,1.89,0.28,5.15,1
Mario & Sonic at the Olympic Games,5,2008,11,452,1.64,2.48,0.44,0.58,5.14,1
Medal of Honor: Rising Sun,17,2003,9,139,1.98,2.23,0.13,0.8,5.13,1
Kirby's Dream Land,6,1992,5,368,2.71,0.61,1.7,0.11,5.13,1
Fable III,29,2010,8,328,3.59,1.11,0.05,0.38,5.13,1
Call of Duty: Advanced Warfare,31,2014,9,17,3.21,1.53,0.01,0.38,5.13,1
Microsoft Flight Simulator,14,1996,10,328,3.22,1.69,0,0.2,5.12,1
Guitar Hero II,17,2006,4,434,3.81,0.63,0,0.68,5.12,1
Resident Evil 5,18,2009,1,82,1.96,1.43,1.08,0.65,5.11,1
Grand Theft Auto V,31,2014,1,498,2.66,2.01,0,0.41,5.08,1
Grand Theft Auto: Vice City Stories,20,2006,1,498,1.7,2.02,0.16,1.21,5.08,1
FIFA Soccer 11,18,2010,11,139,0.6,3.29,0.06,1.13,5.08,1
Super Mario Bros.,6,1999,5,368,3.4,1.3,0.15,0.22,5.07,1
Resident Evil,16,1996,1,551,2.05,1.16,1.11,0.73,5.05,1
Tony Hawk's Pro Skater,16,1999,11,17,3.42,1.38,0.02,0.2,5.02,1
Super Smash Bros. for Wii U and 3DS,27,2014,3,368,2.59,1.06,0.8,0.57,5.02,1
Warzone 2100,16,1999,12,138,2.79,1.89,0,0.33,5.01,1
Spyro the Dragon,16,1998,5,464,3.36,1.36,0.07,0.21,5,1
Link's Crossbow Training,26,2007,9,368,3.06,1.18,0.29,0.46,5,1
Guitar Hero III: Legends of Rock,17,2007,4,17,3.49,0.01,0.01,1.48,4.98,1
Fallout 3,29,2008,8,65,3.39,1.03,0.09,0.44,4.96,1
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,5,2007,8,368,1.85,1.2,1.54,0.37,4.96,1
Uncharted: Drake's Fortune,18,2007,1,464,2.31,1.73,0.12,0.78,4.94,1
Madden NFL 06,17,2005,11,139,3.98,0.26,0.01,0.66,4.91,1
LEGO Star Wars: The Complete Saga,5,2007,1,296,2.89,1.54,0,0.46,4.9,1
Diddy Kong Racing,11,1997,7,368,2.91,0.99,0.89,0.1,4.88,1
Monster Hunter Freedom 3,20,2010,8,82,0,0,4.87,0,4.87,1
Dr. Mario,12,1990,6,368,2.62,0.6,1.52,0.1,4.85,1
God of War III,18,2010,1,464,2.74,1.36,0.12,0.63,4.84,1
StarCraft II: Wings of Liberty,14,2010,12,17,2.56,1.68,0,0.59,4.83,1
Assassin's Creed,18,2007,2,532,1.91,2,0.09,0.83,4.83,1
FIFA 15,18,2014,11,139,0.57,3.14,0.04,1.07,4.82,1
Crash Team Racing,16,1999,7,464,2.57,1.57,0.44,0.21,4.79,1
FIFA 17,19,2016,11,139,0.28,3.75,0.06,0.69,4.77,1
Batman: Arkham City,29,2011,1,558,2.99,1.31,0.04,0.41,4.76,1
Driver 2,16,2000,1,54,2.36,2.1,0.02,0.25,4.73,1
The Simpsons: Hit & Run,17,2003,7,554,1.73,2.19,0,0.79,4.7,1
Tony Hawk's Pro Skater 2,16,2000,11,17,3.05,1.41,0.02,0.2,4.68,1
Animal Crossing: City Folk,26,2008,10,368,1.87,1.12,1.32,0.37,4.68,1
The Lord of the Rings: The Two Towers,17,2002,1,139,1.94,1.95,0.08,0.7,4.67,1
Forza Motorsport 4,29,2011,7,328,2.08,2.04,0.06,0.47,4.64,1
Tomb Raider,16,1996,1,138,2.29,1.97,0.13,0.24,4.63,1
Guitar Hero III: Legends of Rock,26,2007,4,17,3.06,1.12,0,0.44,4.62,1
The Legend of Zelda: A Link to the Past,24,1991,1,368,2.42,0.91,1.15,0.13,4.61,1
The Legend of Zelda: The Wind Waker,8,2002,1,368,2.6,0.99,0.89,0.13,4.6,1
Mario & Sonic at the Olympic Winter Games,26,2009,11,452,1.89,1.99,0.22,0.48,4.58,1
Luigi's Mansion: Dark Moon,3,2013,1,368,1.78,1.39,1.1,0.3,4.58,1
Splatoon,27,2015,9,368,1.55,1.15,1.44,0.43,4.57,1
The Last of Us,19,2014,1,464,1.78,1.87,0.07,0.82,4.55,1
Guitar Hero III: Legends of Rock,29,2007,4,17,3.19,0.92,0.01,0.42,4.53,1
Madden NFL 2005,17,2004,11,139,4.18,0.26,0.01,0.08,4.53,1
Pitfall!,1,1981,5,17,4.21,0.24,0,0.05,4.5,1
Madden NFL 07,17,2006,11,139,3.63,0.24,0.01,0.61,4.49,1
Spider-Man: The Movie,17,2002,1,17,2.71,1.51,0.03,0.23,4.48,1
Dragon Quest VII: Warriors of Eden,16,2000,8,145,0.2,0.14,4.1,0.02,4.47,1
Uncharted: The Nathan Drake Collection,19,2015,1,464,1.96,1.69,0.08,0.74,4.47,1
Call of Duty: Advanced Warfare,18,2014,9,17,1.54,1.94,0.19,0.77,4.45,1
God of War,17,2005,1,464,2.71,1.29,0.02,0.43,4.45,1
Nintendo Land,27,2012,4,368,2.55,1.11,0.46,0.33,4.44,1
Michael Jackson: The Experience,26,2010,4,532,2.67,1.35,0.01,0.39,4.42,1
Tony Hawk's Pro Skater 3,17,2001,11,17,2.66,1.29,0.01,0.46,4.41,1
Winning Eleven: Pro Evolution Soccer 2007,17,2006,11,282,0.1,2.39,1.05,0.86,4.39,1
The Elder Scrolls IV: Oblivion,29,2006,8,498,2.82,1.05,0.13,0.4,4.39,1
Zelda II: The Adventure of Link,12,1987,2,368,2.19,0.5,1.61,0.08,4.38,1
Need for Speed: Most Wanted,17,2005,7,139,2.03,1.79,0.08,0.47,4.37,1
Resistance: Fall of Man,18,2006,9,464,1.73,1.73,0.14,0.75,4.35,1
Sonic the Hedgehog,9,1991,5,452,3.03,0.91,0.26,0.13,4.34,1
Kingdom Hearts II,17,2005,8,474,2.2,0.58,1.38,0.17,4.33,1
FIFA 14,29,2013,11,139,0.92,2.93,0.01,0.46,4.31,1
Call of Duty: Advanced Warfare,29,2014,9,17,2.75,1.18,0,0.37,4.31,1
Asteroids,1,1980,9,54,4,0.26,0,0.05,4.31,1
Fable II,29,2008,8,328,2.51,1.27,0.11,0.41,4.31,1
Halo 5: Guardians,31,2015,9,328,2.64,1.2,0.03,0.39,4.26,1
Super Mario 3D World,27,2013,5,368,2.11,1.11,0.72,0.3,4.25,1
Batman: Arkham Asylum,18,2009,1,138,2.23,1.34,0.07,0.61,4.25,1
Assassin's Creed: Revelations,18,2011,1,532,1.41,2.02,0.1,0.72,4.24,1
Namco Museum,7,2001,4,351,3,1.11,0.05,0.07,4.24,1
Metal Gear Solid 3: Snake Eater,17,2004,1,282,1.46,0,0.83,1.93,4.23,1
Daxter,20,2006,5,464,2.45,1.02,0,0.75,4.22,1
Warcraft II: Tides of Darkness,14,1995,12,17,1.7,2.27,0,0.23,4.21,1
The Legend of Zelda: Ocarina of Time,3,2011,1,368,2.03,1.27,0.62,0.3,4.21,1
FIFA Soccer 06,17,2005,11,139,0.78,2.55,0.04,0.84,4.21,1
EyeToy Play,17,2003,4,464,0.88,2.3,0.2,0.83,4.2,1
Uncharted 4: A Thief's End,19,2016,9,464,1.3,2.07,0.18,0.65,4.2,1
Gran Turismo 5 Prologue,18,2007,7,464,1.28,1.83,0.57,0.53,4.2,1
Assassin's Creed: Revelations,29,2011,1,532,2.25,1.47,0.04,0.43,4.19,1
Street Fighter IV,18,2009,3,82,2.02,1.06,0.58,0.53,4.19,1
FIFA 12,29,2011,11,139,0.84,2.79,0.02,0.53,4.19,1
Teenage Mutant Ninja Turtles,12,1989,1,392,3.38,0.44,0.31,0.04,4.17,1
Excitebike,12,1984,7,368,2.04,0.48,1.57,0.07,4.16,1
Frogger,16,1997,1,217,3.79,0.27,0,0.11,4.16,1
Madden NFL 2003,17,2002,11,139,3.36,0.21,0.01,0.56,4.14,1
Watch Dogs,19,2014,1,532,1.4,1.86,0.11,0.77,4.14,1
Half-Life,14,1997,9,554,4.03,0,0.09,0,4.12,1
Super Mario World 2: Yoshi's Island,24,1995,5,368,1.65,0.61,1.76,0.09,4.12,1
FIFA Soccer 07,17,2006,11,139,0.71,2.48,0.03,0.89,4.11,1
The Legend of Zelda: Skyward Sword,26,2011,1,368,2.14,1.2,0.37,0.4,4.1,1
Street Fighter II Turbo,24,1992,3,82,1.42,0.51,2.1,0.07,4.1,1
Carnival Games,26,2007,4,498,2.13,1.5,0.05,0.42,4.1,1
Fallout 4,31,2015,8,65,2.45,1.26,0.01,0.37,4.09,1
World of Warcraft: The Burning Crusade,14,2007,8,17,2.57,1.52,0,0,4.09,1
Fallout: New Vegas,29,2010,8,65,2.65,1.06,0.04,0.33,4.08,1
God of War II,17,2007,1,464,2.32,0.04,0.04,1.67,4.07,1
Forza Motorsport 2,29,2007,7,328,2.35,1.28,0.03,0.41,4.06,1
World Soccer Winning Eleven 9,17,2005,11,282,0.12,2.26,0.9,0.77,4.06,1
Namco Museum Vol.3,16,1996,4,464,2.28,1.55,0.16,0.06,4.05,1
Tekken Tag Tournament,17,2000,3,351,1.68,1.51,0.51,0.35,4.05,1
Far Cry 4,19,2014,9,532,1.12,2.12,0.1,0.69,4.03,1
Star Fox 64,11,1997,9,368,2.78,0.58,0.64,0.04,4.03,1
Minecraft,19,2014,4,466,1.38,1.87,0.12,0.65,4.02,1
Golf,12,1984,11,368,1.22,0.28,2.46,0.04,4.01,1
Fallout 3,18,2008,8,65,2.15,1.2,0.07,0.59,4.01,1
Professor Layton and the Diabolical Box,5,2007,6,368,0.92,1.78,0.92,0.37,4,1
Left 4 Dead 2,29,2009,9,139,2.67,0.89,0.05,0.37,3.99,1
Namco Museum: 50th Anniversary,17,2005,4,351,2.08,1.35,0,0.54,3.98,1
EA Sports Active,26,2009,11,139,2.1,1.36,0.06,0.4,3.92,1
Assassin's Creed: Unity,19,2014,1,532,1.18,1.96,0.08,0.7,3.92,1
Donkey Kong Land,6,1994,5,368,1.97,0.76,1.07,0.11,3.91,1
Tony Hawk's Underground,17,2003,11,17,2.29,1.17,0.01,0.42,3.9,1
Assassin's Creed IV: Black Flag,18,2013,1,532,1.33,1.71,0.13,0.73,3.89,1
Monster Hunter 4 Ultimate,3,2014,8,368,0.67,0.49,2.62,0.11,3.89,1
MotorStorm,18,2006,7,464,1.53,1.61,0.06,0.67,3.88,1
The Elder Scrolls V: Skyrim,14,2011,8,65,1.15,2.09,0,0.64,3.88,1
Tekken 5,17,2005,3,351,0.93,1.94,0.31,0.7,3.87,1
Dragon Warrior III,12,1988,8,145,0.1,0,3.77,0,3.87,1
Sports Champions,18,2010,11,464,2.12,1.14,0.1,0.51,3.87,1
NBA 2K16,19,2015,11,498,2.48,0.65,0.03,0.69,3.85,1
World Soccer Winning Eleven 8 International,17,2004,11,282,0.16,1.89,1.12,0.68,3.85,1
Flash Focus: Vision Training in Minutes a Day,5,2007,4,368,0.87,1.57,1.05,0.35,3.84,1
Namco Museum Vol.1,16,1995,4,464,2.12,1.44,0.22,0.06,3.84,1
The Legend of Zelda: Link's Awakening,6,1992,1,368,2.21,0.96,0.54,0.13,3.83,1
Mario & Luigi: Bowser's Inside Story,5,2009,8,368,2.26,0.48,0.81,0.27,3.83,1
Big Brain Academy: Wii Degree,26,2007,4,368,1.06,1.93,0.41,0.43,3.82,1
Nintendogs + cats,3,2011,10,368,1.44,1.37,0.73,0.27,3.81,1
Batman: Arkham Knight,19,2015,1,558,1.49,1.58,0.1,0.61,3.79,1
Mario & Sonic at the London 2012 Olympic Games,26,2011,11,452,1.14,1.91,0.27,0.46,3.78,1
LEGO Indiana Jones: The Original Adventures,29,2008,1,17,2.4,1.03,0,0.36,3.78,1
